name,date,policy_id,claim,latitude,longitude
14.11.20 - API BAJA CALIFORNIA - 01723114 -PRELIMINARY [ENG] (1).pdf,15th September 2014 , TSA370050200 ,Not formally quantified yet ,25.02343,-111.65632
15.01.12 - (01) BANCO INVEX SA FIDEICOMIS NO 192 FINAL - 01563814 (ENG) .pdf,14th September 2014 ,TSA355860201 ,"USD 7,260,850.00 ",23.06191,-109.67617
14.12.03 - THE BANK OF NEW YORK MELLO - 1571614 First Interim Report (ENG) .pdf,15-Sep-14,GSA085930200,NA,NA,NA
15.06.03 - CABO REAL (DREAMS & CASA DEL MAR & GANZO IR6 [ENG] .pdf,NA,GSA085570200 ,"MXN 576,544,761.31 ",various,various
16.07.11 - FINAL REPORT - CLUB 96 - 01582314.pdf,14-Sep-14,GSA093930100 ,"USD 3,009,800.82 ",27.68779,-113.41313
15.05.14 - COSTCO - 01562914 - FINAL [ENG] .pdf,14-Sep-14,GJA020960300,"MX$134,745,169 ",23.0942,-109.7168
15.02.09 - FEMSA COMERCO - 01623214 - ENG.pdf,SEPTEMBER 14TH 2014 ,GSA099120000 ,NA,various,various
14.10.24 - FONDO NACIONAL - IP 01671914 - 4353-IR01.pdf,14th September 2014 ,TJ2000220200 ,Not yet formally quantified ,NA,NA
15.01.16 - GRUPO COSTAMEX - 01562514 - INTERIM [ENG] .pdf,14th September 2014 ,GJ1003140200,Not formally quantified ,23.0462,-109.7035
14.12.19 - FIESTA AMERIC VAC CLUB-GRUPO POSADAS- 01594914 - INTERIM 2[ENG] .pdf,14th September 2014 ,GSA098420000 ,TBA ,22.92107,-109.8277
15.04.07 GRUPO POSADAS-AXA 01565414 - INTERIM 3 [ENG] .pdf,14th September 2014 ,GSA098420000 ,TBA ,22.92107,-109.8277
15.04.20 GRUPO POSADAS-AXA - 01594914 - INTERIM 3 [ENG] .pdf,14th September 2014 ,GSA098420000 ,TBA ,22.92107,-109.8277
15.06.19 - GRUPO POSADAS - 01565414- 4IR -(ENG.).pdf,14-Sep-14, GSA098420000 ,"USD 12,689,222.27 ",22.92107,-109.8277
15.06.19 - GRUPO POSADAS - 01594914-3IR- (ENG).pdf,14-Sep-14, GSA098420000 ,"USD 10,027,581.88 ",22.92107,-109.8277
14.10.27 - BANCO NACIONAL DE MEXICO SA FIDEICOMISO EL MEDANO - 01566814.pdf,14th September 2014 ,GSA085110202,NA,22.88105,-109.91157
15.09.22 - ME CABO - FINAL - 01566814 - ENG.pdf,14th September 2014 ,GSA085110202,"MXN 146,402,565.10 ",22.88894,-109.90393
15.02.24 - Plaza San Lucas - FINAL - 01563614 (ENG).pdf,14th September 2014 ,GSA085150201 ,"MXN 41,648.678.26 ",23.14554,-109.71827
14.12.19 - PUEBLO BONITO - IP 01564314 - UPDATE .pdf,14th September 2014 ,GJ1002601100 ,Not yet formally quantified ,various,various
15.07.09 - PUEBLO BONITO - IR 04 - 01564314 .pdf,14th September 2014 ,GJ1002601100 ,NA,various,various
16.06.14 - PUEBLO BONITO - 01564314 - UPDATE REPORT.pdf,14th September 2014 ,GJ1002601100 ,"US$ 121,520,297 ",NA,NA
14.12.17 - SHERATON - FINAL Eng - 01562314.pdf,14th September 2014 ,GJA021930100 ,"USD 26,137,746.09 ",22.91478,-109.83674
14.10.08 - VISTA SERENA - IP 01573514 - PRELIM CRAWFORD [ENG] .pdf,14-Sep-14,TJA069830000,"USD 5’000,000 ",22.92107,-109.8277
15.07.16 - VISTA SERENA - Update Report - 01573514.pdf,"September 14th, 2014",TJA069830000 ,NA,22.90298,-109.89389
15.01.16 - AMX Cabo Holdings (TERSORO) - 01574714  INTERIM [ENG]  .pdf,14th September 2014 ,IJI000530700,Not formally quantified ,22.88105,-109.91157
14.10.02 - AEROPUERTO - 01572114.PDF,14th September 2014 ,GS1000510300 ,Not yet formally quantified ,24.07544,-110.36445
15.05.08 - CABO REAL - 01567014  IXE BANCO - INFORME FINAL SECRETS [ENG] .PDF,"September 14th, 2014 ",GSA100870001 ,"$ 169,272,745.00 MXN ",23.06695,-109.65945
15.05.04 - HOTEL ME CABO - INTERIM #4 - 01566814 - ENG.PDF,14th September 2014 ,GSA085110202," MXN  146,402,565.10 ",22.88894,-109.90393
14.09.26 - GRUPO PUEBLO BONITO - IP 01564314 - 4291- IA.PDF,14th September 2014 ,GJ1002601100 ,Not yet formally quantified ,various,various
14.11.03 - INFORME DE ACTUALIZACION VILLAS SOLARIS 01567514 (2) - INGLES.PDF,14-Sep-14,GSA065510502,NA,23.04772,-109.69306
15.03.23 - VILLA SOLARIS - FINAL REPORT - 01567514 (ENG).PDF,14-Sep-14,GSA065510502 ,NA,23.04558,-109.69582
